1,0,1,0.56,0
2,-3.48,0.9,0.56,1
3,0,0.65,0.92,0
4,5.11,0.55,0.92,1.7
5,8.53,0.325,1.19,0
6,4.45,0.35,1.7,0
7,3.29,0.25,2,0
8,2.48,0.2,2.74,0
9,2.48,0.15,3,0
10,0,0.1,3.76,0
11,2.48,0.075,4.07,0
